国家,国家简码,注册数
危地马拉,GT,10
柬埔寨,KH,10
毛里求斯,MU,10
尼日尔,NE,10
塞拉利昂,SL,10
安道尔共和国,AD,9
安圭拉岛,AI,9
瑞士,CH,9
冈比亚,GM,9
马尔代夫,MV,9
巴巴多斯,BB,8
保加利亚,BG,8
玻利维亚,BO,8
哥斯达黎加,CR,8
拉脱维亚,LV,8
澳门,MO,8
特立尼达和多巴哥,TT,8
塞浦路斯,CY,7
匈牙利,HU,7
文莱,BN,6
格鲁吉亚,GE,6
克罗地亚,HR,6
萨尔瓦多,SV,6
乍得,TD,6
土库曼斯坦,TM,6
圭亚那,GY,5
查谟和克什米尔,IR,5
利比里亚,LR,5
马耳他,MT,5
挪威,NO,5
乌拉圭,UY,5
伯利兹,BZ,4
吉布提,DJ,4
巴拿马,PA,4
苏丹,SD,4
日本L,JL,3
蒙古,MN,3
波多黎各,PR,3
斯洛伐克,SK,3
百慕大群岛,BM,2
中国,CN,2
黑山国,HS,2
冰岛,IS,2
斐济,FJ,2
立陶宛,LT,2
卢森堡,LU,2
尼加拉瓜,NI,2
塞尔维亚,RS,2
塔吉克斯坦,TJ,2
阿尔及利亚A,BA,1
法属圭亚那,GF,1
关岛,GU,1
开曼群岛,KY,1
摩纳哥,MC,1
塞舌尔,SC,1
斯洛文尼亚,SI,1
特克斯和凯科斯群岛,TC,1
科威特X,AB,0
摩洛哥A,AK,0
黎巴嫩A,AH,0
埃及A,AP,0
卡塔尔X,AJ,0
以色列X,AX,0
阿曼X,AV,0
阿联酋X,AC,0
沙特X,AA,0
叙利亚A,AY,0
土耳其A,BC,0
也门X,BQ,0
伊拉克A,BK,0
巴勒斯坦X,BP,0
巴林X,BU,0
苏丹X,CJ,0
利比亚A,CB,0
约旦A,BX,0
库克群岛,CK,0
马来西亚X,CE,0
中非共和国,CF,0
突尼斯X,CP,0
马哈拉施特拉邦,DA,0
曼尼普尔邦,DB,0
米佐拉姆邦,DC,0
纳加兰邦,DF,0
奥里萨邦,DG,0
旁遮普邦,DI,0
塔米尔纳德邦,DN,0
特伦甘纳邦,DP,0
拉贾斯坦邦,DL,0
达达区邦,DQ,0
乌塔拉坎德邦,DS,0
特里普拉邦,DR,0
古吉拉特邦,DV,0
乌邦,DT,0
西孟加拉邦,DU,0
格林纳达,GD,0
直布罗陀,GI,0
安得拉邦,IB,0
阿鲁纳恰尔邦,IC,0
安尼群岛邦,IA,0
阿萨姆邦,IF,0
比哈尔邦,IG,0
查蒂斯加尔邦,II,0
昌迪加尔邦,IH,0
喜马偕尔邦,IP,0
贾坎德邦,IJ,0
拉克沙群岛邦,IY,0
梅加拉亚邦,IX,0
拉达克邦,IW,0
卡纳塔克邦,IU,0
中央邦,IZ,0
喀拉拉邦,IV,0
列支敦士登,LI,0
圣卢西亚,LC,0
德里邦,IK,0
蒙特塞拉特岛,MS,0
瑙鲁,NR,0
巴布亚新几内亚,PG,0
法属玻利尼西亚,PF,0
所罗门群岛,SB,0
圣马力诺,SM,0
圣多美和普林西比,ST,0
东帝汶,TL,0
汤加,TO,0
圣文森特岛,VC,0
扎伊尔,ZR,0
